hbt,pp,ba,fu,pr,om
M,2.55,28.01,2.55,2.55,218.28
M,1.31104556,7.316707067,1.33788375,1.33788375,208.9533814
M,8.25,13.255,3.355,0,217.85
M,102.49,18.51666667,20.94666667,0,226.5
M,21.35,52.72,14.84666667,0,208.6233333
M,2.49,4.965,1.245,0,205.475
M,24.10410513,61.15951815,20.3783611,4.227436067,234.2830292
M,15.51063481,104.318667,49.41237375,3.705822493,234.0212696
M,1.365,29.525,11.89,0,207.455
M,3.180661576,6.391601086,3.210939506,0.795165393,207.0061049
M,42.14735572,132.767222,51.91323587,11.04974694,248.4972662
M,22.32094135,53.1015768,14.82418351,8.108886191,225.6614547
M,8.99,68.93,32.96,0,238.96
M,14.93202062,15.41218032,12.36244752,2.593360997,204.7673067
M,11.38306103,51.62118456,6.449095454,3.224547727,225.7262007
M,0.75024383,4.60789695,0.75024383,0,206.9538627
M,12.2252698,6.320252723,8.52156608,0,207.9287857
M,18.98128076,14.58442281,6.229061783,0,208.3009382
M,4.285,2.025,0,0,203
M,25.7225,70.13333334,15.7875,0.488333334,215.0616667
M,23.40770978,55.61534497,27.29618173,6.485519534,244.4015253
M,3.46860909,22.89012992,6.54118671,1.058201057,208.4829857
M,13.41906686,16.53141673,4.176605367,2.532928063,224.0722587
M,4.9125,17.5925,1.5275,0,203
M,15.785,84.61166667,25.615,1.075,216.045
M,47.51,35.78,22.3275,0,217.085
M,25.28929297,88.71119275,39.58497263,50.5020032,245.168952
M,22.038069,73.67516421,20.08001855,5.534499197,229.1891316
M,4.022447384,6.742292468,3.038001627,0,207.773401
M,1.850481125,1.850481126,3.71267852,0,204.8504811
M,3.30565154,15.06052317,7.484140697,1.606704887,212.9747576
M,37.59398495,100.2506265,0,18.79699245,408.383861
M,42.56329607,28.92707134,31.56145077,4.60090039,230.8741031
M,16.185,60.28,11.8675,0,212.7375
M,1.730702667,11.78093611,2.270663033,3.778204713,207.5413261
M,17.76398015,75.03009383,32.6935929,2.026342453,229.6145656
M,13.35,7.42,7.265,0,205.97
M,10.64,13.395,6.57,0,209.57
M,1.81554103,16.01805711,5.26798363,3.4524426,215.7173275
M,9.98,9.905,5.95,0,208.985
M,4.006506097,16.23916202,5.18373016,0,208.7135528
M,6.279181547,2.73933461,1.794512237,0,203.9448224
M,9,9,6.803333333,0,208.2333333
M,7.400366613,31.45236877,8.659201603,1.02848915,209.2199504
M,6.946666667,52.89,16.34333333,1.166666667,236.8833333
M,28.53193781,56.88683207,30.17478322,6.935359423,226.7862397
M,1.07561579,5.07978943,3.22684737,0,204.9493177
M,14.57541532,44.1099601,27.85889319,1.56928007,224.3122627
M,14.2490348,43.22822052,36.55372271,2.917811903,223.0586777
M,1.565312674,3.126227364,3.91219848,0,206.1300837
M,5.738184654,17.40953542,4.573193167,0.606281073,214.2124805
M,14.09351025,24.10673622,17.28865033,0,222.9364231
M,3.715470484,7.685163738,4.596599861,0,206.0701904
M,10.33235035,8.235034911,14.44986781,2.097315435,209.1377195
M,88.285,24.41,10.215,4.455,256.895
M,0.806907123,6.075381653,6.185454593,0,205.345132
M,10.21599746,44.26874618,21.02443624,8.683844893,222.001063
M,20.91,43.425,5.225,0,208.38
M,6.13,5.99,0,0,204.95
M,8.908365965,57.97318627,56.08139661,3.583102845,226.3395596
D,5.1296339,20.24033065,0.95950873,0.95950873,9.410455825
D,8.627898953,39.85987217,9.866041093,0,16.21783846
D,73.035,54.235,46.93,0,10.42
D,20.06333333,33.31333333,3.17,4.266666668,11.57333333
D,5.28,41.885,7.365,0,10.72
D,12.90130516,37.10248822,2.944640753,0,14.6078272
D,0.82,15,2.18938088,0,3.8844822
D,15.1451492,112.4513163,18.2851574,14.8809524,64.35614257
D,2.765,25.815,2.765,0,8.295
D,29.58070028,111.3726149,34.05126425,9.39378375,42.07241807
D,4.05,29.27,6.075,0,0
D,18.06222258,73.26865378,34.95665599,7.68441755,24.27170714
D,74.655,33.18,20.96,0,14.765
D,2.95420975,16.77957281,1.85256614,0,4.733782559
D,5.926062151,29.30363989,6.318288817,0,3.530310404
D,117.6389135,116.4183135,79.11498821,38.5437066,166.3204954
D,37.04389965,134.315345,55.22713835,10.94290558,26.82432861
D,4.443333333,16.83333333,10.3,2.203333333,10.68333333
D,29.16119894,114.5315421,42.77782608,3.344957663,19.86215213
D,9.023446079,33.60358476,5.068591873,3.022974607,10.06140515
D,5.386613211,17.33090898,0,0,3.798260107
D,10.59,17.02,2.02,4.035,2.02
D,13.698321,82.21583594,24.27693397,17.50347233,56.65196636
D,19.04986811,51.54605865,8.786437327,6.04128412,23.81949786
D,7.949471973,26.89676949,2.176223296,0,11.39480355
D,3.57777561,23.10748205,8.31376294,1.15821172,4.632846885
D,52.39,31.89666667,33.59,1.873333333,20.67666667
